-arvoinen	-arvoidnen
aske	aski
asker	asker
aso	aso
asodâh	asodat
asosâš	asosaš
assaa	assá
assaavuotâ	assávuota
assistent	assistent
astel	astel
astkääri	astgári
asto	asto
astottesvuotâ	astohttesvuota
astoäigi	astoáigi
asun	asun
asâttiđ	asadtit
asâttâs	asadtas
auto	auto
autokoori	autokori
avalâš	avalaš
avdo	avdo
avediđ	avedit
avra	avra
avâštâs	avaitas
avžuuttiđ	avžuhttit
avžuuttâs	avžuhttas
avžuđ	avžut
aččinj	ahččidnj
aččinjkálgu	ahččidnjkálgu
aččinjriččâ	ahččidnjrihčča
aččinriččâ	ahččidnrihčča
ađđiistâllâđ	ađđistallat
ašt	ait
aštâččiđ	aitahččit
bussi	bussi
caappâđ	cáhppat
cagge	caggi
cahâstiđ	cahastit
caimuđ	caimut
caimâšuđ	caimašut
canccoliđ	canhccolit
canccođ	canhccot
capâlistiđ	capalistit
casâstuh	casastut
cavgeliđ	cavgelit
cavâdiđ	cavadit
cavâstiđ	cavastit
cavâččiđ	cavahččit
ceehi	ceahi
ceehis	ceahis
ceevi	ceavi
ceggii	ceggi
ceggiistellee	ceggistellei
ceggiistâllâđ	ceggistallat
ceggiđ	ceggit
ceggâ	cegga
ceggâdiđ	ceggadit
ceggâniđ	cegganit
cegâttiđ	cegadtit
cekki	cehkki
cekkiđ	cehkkit
celkkiđ	celhkkit
celkkâliđ	celhkkalit
cerkki	cerhkki
cevziđ	cevzit
cibináš	cibidnáš
cicceeđ	cihcceat
cicceđ	cihccet
cicestiđ	cicestit
cicettiđ	cicehttit
cieggâđ	cieggat
ciegâdiđ	ciegadit
ciegâstiđ	ciegastit
ciegâstâllâđ	ciegastallat
ciellâđ	ciellat
cielâttiđ	cieladtit
cieppâđ	ciehppat
ciirgâs	cirgas
cilijdiđ	cildjdit
cilkkem	cilhkken
cilkkeđ	cilhkket
cimccâh	cimhccat
cimostiđ	cimostit
cirgeđ	cirget
cirgádiđ	cirgádit
cirgálâh	cirgálat
cirgáđ	cirgát
cirhádiđ	cirhádit
cirkkeđ	cirhkket
ciskâđ	ciskat
civhádiđ	civhádit
civkkeđ	civhkket
ciägguđ	ceaggut
ciägu-	ceagu-
ciägus	ceagus
ciähháđ	ceahhát
ciäkkuđ	ceahkkut
ciälhus	cealhus
ciälkkámuš	cealhkkámuš
ciälus	cealus
ciärkkádiđ	cearhkkádit
ciävvuliđ	ceavvulit
ciävvuđ	ceavvut
ciävzámâš	ceavzámaš
ciŋkkeđ	ciŋhkket
ciŋkkáhâš	ciŋhkkáhaš
coggâ-	cogga-
coggâđ	coggat
cogâsnjalmij	cogasnjalbmdj
cohhuđ	cohhut
cokkiittiđ	cohkkihttit
cokkiittâs	cohkkihttas
cokkiđ	cohkkit
cokkâniđ	cohkkanit
colkkâliđ	colhkkalit
commâliđ	copmalit
coohhuđ	cohhut
cooijâđ	codjat
coommâđ	copmat
cooskâs	coskas
copciđ	copcit
cuggâđ	cuggat
cuikkádiđ	cuihkkádit
cuikkááttiđ	cuihkkáhttit
cuikkâliđ	cuihkkalit
cullâgyettiđ	cullaguohttit
cuobbuunjuolâ	cuobbunjuola
cuobbuunjuolâs	cuobbunjuolas
cuoigiđ	cuoigit
cuovhâs	cuovhas
cuovkkiittâllâđ	cuovhkkihttallat
cuovkkiđ	cuovhkkit
cuovkkâniđ	cuovhkkanit
cuozzâ	cuozza
curmáđ	curbmát
cuskâdiđ	cuskadit
cuvnuđ	cuvdnut
cuvnâđ	cuvdnat
cuáhi	coahi
cuáhudiđ	coahudit
cuáháduđ	coahádut
cuápcániđ	coapcánit
cuártti	coarhtti
cuávgááttiđ	coavgáhttit
cuávis	coavis
cuávkkuđ	coavhkkut
cuáŋui	coaŋui
cuáŋuidittiđ	coaŋuidihttit
cuáŋuimáánu	coaŋuimánu
cuáŋuliđ	coaŋulit
cyecci	cuohcci
cyezzi	cuozzi
cáhádiđ	cáhádit
cáhádâttâđ	cáhádadtat
cäimiđ	cáimit
cäähiđ	cáhit
delta	delta
design	design
dokument	dokument
edirvâššâđ	edirvaššat
eebir	eabir
eehi	eahi
eehid	eahit
eehiv	eahiv
eeijiđ	eadjit
eejiš	eajiš
eeleed	ealeat
eeleev	ealeav
eellim	eallin
eelliđ	eallit
eemeed	eameat
eenniš	eadniš
eennuš	eadnuš
eennâm	eadnan
eennâmluđ	eadnamlut
eennâmriddo	eadnamriddo
eennâmtuálu	eadnamdoalu
eennâmviljâlem	eadnamviljalen
eenâb	eanat
eenâbloho	eanabloho
eenâs	eanas
eestâ	easta
eeti	eati
eeči	eači
eeđâb	eađat
ehidij	ehiddj
ehidist	ehidist
ehiduđ	ehidut
ehidâs-	ehidas-
ehidâsveigi	ehidasveigi
eidu	eidu
eimâskâs	eimaskas
eivi	eivi
ejâččiđ	ejahččit
ekonomia	ekonomia
ekonomâlâš	ekonomalaš
elbâđ	elbat
ele	eli
elefant	elefant
elefantti	elefanhtti
elettiđ	elehttit
elettâttâđ	elehttadtat
elilâm	elilan
eljuttuđ	eljuhttut
ellee	ellei
elleekove	elleakovi
elleđ	ellet
elomáánu	elománu
elâliđ	elalit
elâččiđ	elahččit
emedâš	emedaš
enittiđ	enihttit
enni	edni
enniluđ	ednilut
ennilâš	ednilaš
ennustiđ	ednustit
ennuv	ednuv
ennâgâs	ednagas
enâbiššáá	enabiššá
enâdâh	enadat
enâmispuájui	enamispoajui
enâmistpuájui	enamistpoajui
ep	et
epideijee	epidedjei
epidiđ	epidit
epioskolâš	epioskolaš
epitáválâš	epitáválaš
eppee	ehppei
eppeđ	ehppet
erduu	erdu
erduđ	erdut
erdâšuđ	erdašut
erehtuđ	erehtut
eres	eres
ereslágán	ereslágán
eresmuáđusâš	eresmoađusaš
ergi	ergi
ergijn	ergdjn
erhittuđ	erhihttut
eromâš	eromaš
eromâšávt	eromašávt
ertpelsärgi	ertpelsárgi
ertpeltähti	ertpeltáhti
ervidiđ	ervidit
esiväldi	esiváldi
esken	esken
eskenpalij	eskenpaldj
essâ	essa
esteetlâš	esteatlaš
estiđ	estit
estuđ	estut
et	et
ete	eti
ettâ	ehtta
ettâđ	ehttat
evvisttem	evvishtten
evvisttemesvuotâ	evvishttemesvuota
ečiluđ	ečilut
ečirokke	ečirohkki
eđâbiššááš	eđabiššáš
eđâldâh	eđaldat
eštuu	eitu
faadâr	fádar
faainâhaajâ	fáidnahája
faallâđ	fállat
faanin	fánidn
faarpâl	fárpal
faaskâ	fáska
faddâ	fadda
faddârâš	faddaraš
fagge	faggi
faggođ	faggot
fakkist	fahkkist
fakkâ	fahkka
falskii	falski
falskiđ	falskit
falâdeijee	faladedjei
falâldâh	falaldat
falâlistiđ	falalistit
falâliđ	falalit
falâluššâđ	falaluššat
fanttinâs	fanhttidnas
faskâttiđ	faskadtit
fastašiđ	fastašit
faste	fasti
fastâ	fasta
fastâomâdâh	fastaomadat
fattiittâttâđ	fahttihttadtat
fattiđ	fahttit
fađostiđ	fađostit
fađđoođ	fađđot
faŋgâl	faŋgal
faškastâttâđ	faikastadtat
faškârâššâđ	faikaraššat
faškâstiđ	faikastit
faškâsâddâđ	faikasaddat
feerim	fearin
feeriđ	fearit
feiliđ	feilit
feilâ	feila
feilâstiđ	feilastit
ferttiđ	ferhttit
festivaal	festivál
ficcii	fihcci
fierttiđ	fierhttit
fiestâr	fiestar
fievridiđ	fievridit
fiijnes	fidjnes
fijliđ	fdjlit
fijnásávt	fdjnásávt
filliittâttâđ	fillihttadtat
filliđ	fillit
filmâ	filbma
finniđ	fidnnit
finnodâh	fidnnodat
finnâšuđ	fidnnašut
fiskiđ	fiskit
fiskodiđ	fiskodit
fiskáđ	fiskát
fiskâd	fiskat
fiärkkuđ	fearhkkut
fiärruđ	fearrut
fiärttu	fearhttu
fiärvá	fearvá
fiäránistiđ	fearánistit
fiäráán	fearán
fiävrásiđ	feavrásit
fiškáđ	fikát
foostâg	fostat
forgâ	forga
formaallâš	forbmállaš
fyysilâš	fyysilaš
fámuttim	fámuhttin
fárudiđ	fárudit
fárulâš	fárulaš
fáámu	fámu
fááru	fáru
fáárun	fárun
fáárust	fárust
fáškuđ	fáikut
fáškáástâllâđ	fáikástallat
fáškáđ	fáikát
fäggi	fággi
fäggidiđ	fággidit
fälskittem	fálskihtten
fäškittiđ	fáikihttit
graafisâš	gráfisaš
graafâlâš	gráfalaš
haablâs	háblas
haahâđ	háhat
haajâ	hája
haalu	hálu
haamit	hámit
haandâl	hándal
haavdâr	hávdar
haavvâr	hávvar
hablii	habli
hablâ-	habla-
hablâmuotâ	hablamuota
hacciđ	hahccit
hacâgiđ	hacagit
hacâttiđ	hacadtit
hadde	haddi
haijii	hadji
haijiđ	hadjit
haikkâ	haihkka
hajijdiđ	hajdjdit
haldiđ	haldit
haldâttâh	haldadtat
haldâttâs	haldadtas
haldâšiđ	haldašit
halijdiđ	haldjdit
halkkâliđ	halhkkalit
halla	halla
hallittâs	hallihttas
hallâ	halla
halssiđ	halssit
hammiittâs	hapmihttas
hammim	hapmin
hammin	hapmidn
hamâstiđ	hamastit
handuk	handuk
hapattiđ	hapahttit
happiittiđ	hahppihttit
harduđ	hardut
hardâččiđ	hardahččit
harijdiđ	hardjdit
harijdâttiđ	hardjdadtit
harppi	harhppi
harriđ	harrit
harrâgoađistiđ	harragoađistit
harttađ	harhttat
harâgiđ	haragit
hastâččiđ	hastahččit
hastâččâttâđ	hastahččadtat
haterâššâđ	hateraššat
hattiđ	hahttit
hattâ	hahtta
havdârdiđ	havdardit
havlâ	havla
havrijdiđ	havrdjdit
havrâ-	havra-
havrâgiđ	havragit
havviđ	havvit
havvâšuttiđ	havvašuhttit
haŋgâ	haŋga
haŋkettiđ	haŋkehttit
haŋkkiđ	haŋhkkit
haškâ	haika
haškâniđ	haikanit
heeilâ	heaila
heeilâr	heailar
heeitug	heaitut
heeppâd	heahppat
heeppâdlâš	heahppadlaš
heeppâdvuotâ	heahppadvuota
heeviittiđ	heavihttit
heevim	heavin
heeviđ	heavit
heevvâl	heavval
heeđâlm	heađalbn
hei	hei
heiviittâllâđ	heivihttallat
heiviittâs	heivihttas
heiviđ	heivit
hejâpaarâ	hejabára
helduv-	helduv-
helduvah	helduvat
hellá	hellá
hellâ	hella
helmi	helbmi
helmimáánu	helbmimánu
helvit	helvit
hemâdid	hemadit
hemâdâs	hemadas
hepânâš!	hepanaš!
hepânâššâđ	hepanaššat
hersku	hersku
herttâ	herhtta
herttâčalme	herhttačalbmi
herviđ	hervit
hervâ	herva
hervâttiđ	hervadtit
hervâttâs	hervadtas
het-het	het-het
hettiđ	hehttit
hettâšuđ	hehttašut
hevvâlistiđ	hevvalistit
hevvâlttâs	hevvalhttas
heŋgiđ	heŋgit
heŋgâsist	heŋgasist
heŋgâsiđ	heŋgasit
heŋgâstiđ	heŋgastit
heŋgâsân	heŋgasan
heŋgâvieltti	heŋgavielhtti
hicciđ	hihccit
hiettâđ	hiehttat
hietâlistiđ	hietalistit
hiivsig	hivsit
hilgottâttâđ	hilgohttadtat
hilgođ	hilgot
hillo	hillo
hiloi	hiloi
hilppániđ	hilhppánit
hilttiđ	hilhttit
hilui hálui	hilui hálui
hinná	hidnná
hippâđ	hihppat
hirmos	hirbmos
hirmâd	hirbmat
hirmâdsâš	hirbmadsaš
hirmâdávt	hirbmadávt
historjá	historjá
hitodiđ	hitodit
hitruu	hitru
hittoođ	hihttot
hittáht	hihttáht
hitásávt	hitásávt
hivgâniđ	hivganit
hivviittiđ	hivvihttit
hivvâdâh	hivvadat
hiäibum	heaibun
hiäibustiđ	heaibustit
hiäibuttiđ	heaibuhttit
hiäibuđ	heaibut
hiäiloo	heailo
hiäilár	heailár
hiäimu	heaimu
hiäimulâš	heaimulaš
hiäimustiđ	heaimustit
hiäimuš	heaimuš
hiäivulâš	heaivulaš
hiäju	heaju
hiäjuluđ	heajulut
hiäjuniđ	heajunit
hiäjusmiđ	heajusmit
hiälppu	healhppu
hiälssuđ	healssut
hiämáskiđ	heamáskit
hiäpášiđ	heapášit
hiäpášâtah	heapášadat
hiäpášâttâđ	heapášadtat
hiärkku	hearhkku
hiärruđ	hearrut
hiärrávuotâ	hearrávuota
hiärsku	hearsku
hiärváá	hearvá
hiätu	heatu
hiävlá	heavlá
hiävláđ	heavlát
hiäđulâš	heađulaš
hiäđuttiđ	heađuhttit
hiäŋguđ	heaŋgut
hiäŋgáámettum	heaŋgámehttun
hiäŋgáđ	heaŋgát
hiđes	hiđes
hiđásmiđ	hiđásmit
hoidájeijee	hoidájedjei
hoittájeijee	hoihttájedjei
hoittáđ	hoihttát
hokâttâllâđ	hokadtallat
hommáđ	hopmát
hoohâđ	hohat
hoppuu	hohppu
hormendar	horbmendar
hormiš	horbmiš
hos	hos
hovdâ	hovda
hovkkâniđ	hovhkkanit
huhkádiđ	huhgádit
huhtimáánu	huhtimánu
huidođ	huidot
huihádiđ	huihádit
huikkeđ	huihkket
huiláđ	huilát
huksiittâs	huksihttas
huksiđ	huksit
hulijdiđ	huldjdit
hullân	hullan
huollii	huolli
huolâ	huola
huolâlâš	huolalaš
huolâtteijee	huoladtedjei
huolâttiđ	huoladtit
huolâttâs	huoladtas
hure	huri
hurediđ	huredit
hurgettiđ	hurgehttit
hurgeđ	hurget
hurgottiđ	hurgohttit
hurgáttâllâđ	hurgáhttallat
hurgâliđ	hurgalit
hurijdiđ	hurdjdit
hurráá	hurrá
hurtodiđ	hurtodit
hurttođ	hurhttot
hurttáá	hurhttá
hurtádiđ	hurtádit
hurváá	hurvá
huráidittiđ	huráidihttit
huttoođ	huhttot
huttáđ	huhttát
hutâgiđ	hutagit
hutârdiđ	hutardit
huuihâs	huihas
huummân	hupman
huunnjâđ	hudnjat
huvreluttiđ	huvreluhttit
huvreluđ	huvrelut
huvvá	huvvá
huáikkuđ	hoaihkkut
huálššáá	hoalššá
huámášittiđ	hoamášihttit
huámášiđ	hoamášit
huánnuđ	hoadnut
huánášiđ	hoanášit
huáppu	hoahppu
huáppulittiđ	hoahppulihttit
huáppust	hoahppust
huáputtiđ	hoapuhttit
huárástiđ	hoarástit
huátistiđ	hoatistit
huáttáđ	hoahttát
huávri	hoavri
huávristiđ	hoavristit
huávráskiđ	hoavráskit
huškoliđ	huikolit
huškottiđ	huikohttit
huškottâttâđ	huikohttadtat
huškođ	huikot
hušottiđ	hušohttit
huššâ	hušša
huššâlittiđ	huššalihttit
huššâliđ	huššalit
hyelkki	huolhkki
hyeneeht	huoneaht
hyenesuáinulâš	huonesoaidnulaš
hyeni	huoni
hyysig	hyysit
háccud	háhccut
háccuđ	háhccut
háccá	háhccá
háccá väzziđ	háhccá vázzit
háccáht	háhccáht
háccáđ	háhccát
háisuđ	háisut
háittu	háihttu
hálbášiđ	hálbášit
háldáttâs	háldáhttas
hálgu	hálgu
hállá	hállá
hálvát	hálvát
hámbuđ	hámbut
hámmáđ	hápmát
hámáiduđ	hámáidut
hámálâš	hámálaš
hámárdâllâđ	hámárdallat
hánášiđ	hánášit
háputtâllâđ	hápuhttallat
hárjuttiđ	hárjuhttit
hárjuttâllâm	hárjuhttallan
hárjuttâs	hárjuhttas
hárjá	hárjá
hárjánem	hárjánen
hárjániđ	hárjánit
hárruđ	hárrut
hárráht	hárráht
hárráđ	hárrát
hárvuđ	hárvut
hárččuliđ	hárhččulit
hárččulâhčâđ	hárhččulakčat
hárččuđ	hárhččut
hástu	hástu
hástuttiđ	hástuhttit
hástálâs	hástálas
hávdádiđ	hávdádit
hávdádâllâđ	hávdádallat
hávkkuđ	hávhkkut
hávskuttâllâđ	hávskuhttallat
háváduttiđ	háváduhttit
háánnuđ	hádnut
háárán	hárán
háárááv	háráv
háástus	hástus
häittidiđ	háihttidit
hälbi	hálbi
hälbidiđ	hálbidit
hälhistittiđ	hálhistihttit
hälhistiđ	hálhistit
hältti	hálhtti
häppil	háhppil
häppilávt	háhppilávt
härdiđ	hárdit
härji	hárji
härjittiđ	hárjihttit
härvi	hárvi
härvidiđ	hárvidit
häskidiđ	háskidit
hästiđ	hástit
hävdidiđ	hávdidit
hävdiduđ	hávdidut
hävdieennâm	hávdieadnan
hävidiđ	hávidit
hävski	hávski
hävvi	hávvi
häämi	hámi
häänis	hánis
häärvis	hárvis
häävi	hávi
iberdettee	iberdehttei
iberdiđ	iberdit
ibárdâs	ibárdas
idde	iddi
idea	idea
idâluátu	idaloatu
ihe	ihi
ihepaje	ihepaji
ihepeeli	ihepeali
ihepuddâ	ihepudda
iho	iho
ihteđ	ihtet
ihásávt	ihásávt
iidâ	ida
iimiš	imiš
iirgiš	irgiš
iirâs	iras
iiđeed	iđeat
iiđeedpaje	iđeadpaji
iiđeedpittá	iđeadpihttá
iiŋâs	iŋas
iiŋŋân	iŋŋan
iiŋŋâđ	iŋŋat
ij	dj
ijjâ	djja
ijjâdiđ	djjadit
ijjâsiđ	djjasit
ijâstâllâđ	djastallat
ikkân	ihkkan
ilbâd	ilbat
ilbâdâššâđ	ilbadaššat
ilgâd	ilgat
illá	illá
illávaijeeđ	illávadjeat
illávaje	illávaji
illâ	illa
illâluđ	illalut
ilos	ilos
iloskiđ	iloskit
ilosmittiđ	ilosmihttit
ilosmiđ	ilosmit
ilostuđ	ilostut
ilottiđ	ilohttit
ime	imi
immeev	ipmeav
imâšlâš	imašlaš
imâštâllâđ	imaitallat
individuaallâš	idndividuállaš
innig	idnnit
innoođ	idnnot
instituutio	idnstitutio
investeerim	idnvestearin
investistim	idnvestistin
iptos	iktos
irdelum	irdelun
irdeluđ	irdelut
irduđ	irdut
irdâluđ	irdalut
irge	irgi
irodiđ	irodit
irroođ	irrot
irrát	irrát
irâsmiđ	irasmit
irâsmuđ	irasmut
irâstâllâđ	irastallat
irâttiđ	iradtit
irâttâs	iradtas
iskos	iskos
iskâdiđ	iskadit
iskâstiđ	iskastit
iskâđ	iskat
it	it
italia-	italia-
italialaš	italialaš
itelistiđ	itelistit
iteliđ	itelit
itoi	itoi
itteeđ	ihtteat
itten	ihtten
ittum	ihttun
ittuđ	ihttut
ittáš	ihttáš
itám	itán
ivne	ivdni
ivnettuđ	ivdnehttut
ivniđ	ivdnit
ivnáiduđ	ivdnáidut
iä	ea
iäddudiđ	eaddudit
iädduđ	eaddut
iädudiđ	eadudit
iäigád	eaigát
iäljuttiđ	ealjuhttit
iäljár	ealjár
iällááttiđ	ealláhttit
iäluttem	ealuhtten
iälámâš	ealámaš
iäláskiđ	ealáskit
iäláttâh	ealáhttat
iäláttâs	ealáhttas
iälšu	ealšu
iän	ean
iännálâš	eadnálaš
iänui	eanui
iänáduttiđ	eanáduhttit
iänádâh	eanádat
iänáá	eaná
iänááš	eanáš
iänáážin	eanážidn
iänášiđ	eanášit
iäpádâllâđ	eapádallat
iäpárâš	eapáraš
iärdudiđ	eardudit
iärgáduđ	eargádut
iärgádâh	eargádat
iärgáá	eargá
iäru	earu
iäruttiđ	earuhttit
iärániđ	earánit
iäránâššee	earánaššei
iäráán	earán
iässá	eassá
iätkáliđ	eatgálit
iätáduddâđ	eatáduddat
iätáduttiđ	eatáduhttit
iätásâš	eatásaš
iävtuttiđ	eavtuhttit
iävtuttâs	eavtuhttas
iävtutátulâš	eavtutátulaš
iävá	eavá
iäđus	eađus
iđedist	iđedist
iđedân	iđedan
iđedâs	iđedas
iđedâsmäälis	iđedasmális
iđedâspurrâmuš	iđedaspurramuš
iđeškyettiđ	iđeikuohttit
iŋádâh	iŋádat
iše	iši
išedeijee	išededjei
išedistiđ	išedistit
išediđ	išedit
išepargee	išepargei
išesuándi	išesoandi
išteorroođ	iteorrot
ištâdiđ	itadit
ištâliđ	italit
ištâđ	itat
išálâš	išálaš
iššeed	iššeat
iššáá	iššá
jaagiđ	jágit
jaamiš	jámiš
jaammuš	jápmuš
jaammâđ	jápmat
jaamâs	jámas
jaannâđ	jádnat
jalahistiđ	jalahistit
jalahâs	jalahas
jalhettiđ	jalhehttit
jalkkaattiđ	jalhkkáhttit
jalkkađ	jalhkkat
jalkkeđ	jalhkket
jallođ	jallot
jalŋes	jalŋes
jamâ	jama
jamâdiđ	jamadit
jarroođ	jarrot
javgâliđ	javgalit
jaŋgađ	jaŋgat
jeehiđ	jeahit
jeessân	jeassan
jeevil	jeavil
jeggi	jeggi
jeggiluátku	jeggiloatgu
jeggioppuu	jeggiohppu
jergâ	jerga
jesmi	jesmi
jeđe	jeđi
jieggâ	jiegga
jiegâlâš	jiegalaš
jieh	jiet
jieh-uv hepânâš!	jieh-uv hepanaš!
jiehiđ	jiehit
jieht	jieht
jiehtinâš	jiehtidnaš
jieijâs	jiedjas
jiellâh	jiellat
jielâ	jiela
jiem	jien
jienâ	jiena
jienâdiđ	jienadit
jienâttemesvuotâ	jienadtemesvuota
jienâttuđ	jienadtut
jierestuđ	jierestut
jiermi	jierbmi
jiesâ-	jiesa-
jiesâmielkki	jiesamielhkki
jiesâs	jiesas
jievjâ	jievja
jievjâoppuu	jievjaohppu
jievjâs	jievjas
jievžâdiđ	jievžadit
jiečânis	jiečanis
jiečânâs	jiečanas
jieččâd	jiehččat
jieččân	jiehččan
jieŋâ	jieŋa
jieŋâ-	jieŋa-
jieŋâkoolmâs	jieŋagolbmas
jieŋâkuáldee	jieŋagoaldei
jieŋâlmittiđ	jieŋalbmihttit
jieŋâlâs	jieŋalas
jieŋâpäldee	jieŋabáldei
jieŋŋâl	jieŋŋal
jieš	jieš
jiešalnees	jiešalneas
jiešiäluid	jiešealuit
jieškii-uv	jieiki-uv
jieškote-uv	jieikote-uv
jieškotteev	jieikohtteav
jiešmeidlist	jiešmeidlist
jiešmerideijee	jiešmeridedjei
jiešpiäiválâš	jiešpeaiválaš
jiešráđálâš	jiešráđálaš
jiešvuotâ	jiešvuota
jite	jiti
jive	jivi
jiäggáš	jeaggáš
jiägástuh	jeagástut
jiäháttâllâđ	jeaháhttallat
jiänádiđ	jeanádit
jiänáttâllâđ	jeanáhttallat
jiärmálâš	jearbmálaš
jiärmáá	jearbmá
jiärnâm	jearnan
jiäráskittee	jearáskihttei
jiärástum	jearástun
jiärástuđ	jearástut
jiäŋudiđ	jeaŋudit
jo	jo
jodottiđ	jodohttit
jogâldiđ	jogaldit
johân	johan
jolgâd	jolgat
jollâ	jolla
jollâvuotâ	jollavuota
jolâstuđ	jolastut
jolâšiđ	jolašit
joo	jo
joo-o	jo-o
joommân	jopman
joreštiđ	joreitit
jorgettiđ	jorgehttit
jorgosiđ	jorgosit
jorgođ	jorgot
jormo	jorbmo
jorree	jorrei
jorreečuoldâ	jorreačuolda
joráduh	jorádut
jorádâs	jorádas
joráldâs	joráldas
jorŋii	jorŋi
jos	jos
josijdiđ	josdjdit
josijduđ	josdjdut
joskisluándusâš	joskisloandusaš
joskâ	joska
joskâd	joskat
joskâđ	joskat
jotelávt	jotelávt
jotkuđ	jotgut
jotkâ	jotga
jotkâškovliittâs	jotgaikovlihttas
jotkâškovlim	jotgaikovlin
joto	joto
jotteel	johtteal
jotteem	johttean
jotteemčalme	johtteamčalbmi
jotteečalme	johtteačalbmi
jotteeđ	johtteat
jottáđ	johttát
jovgâttoh	jovgadtot
jođetteijee	jođehttedjei
jođettiđ	jođehttit
jođádâh	jođádat
joŋgâliđ	joŋgalit
juggáá	juggá
juhhee	juhhei
juhkeđ	juhget
juhle	juhli
juhlođ	juhlot
juhottiđ	juhohttit
juhâmuš	juhamuš
juhâmâš	juhamaš
juhâtermi	juhaderbmi
jukso	jukso
julediđ	juledit
julgâlâš	julgalaš
julkkeđ	julhkket
julle	julli
julme	julbmi
juláluđ	julálut
julâluđ	julalut
jumijdiđ	jumdjdit
jumppa	jumhppa
juna	juna
juná	juná
juohhuđ	juohhut
juohuđ	juohut
juoigâ	juoiga
juoigâstiđ	juoigastit
juoigâđ	juoigat
juollâd	juollat
juormiđ	juorbmit
juovdâdiđ	juovdadit
