-aikainen	-áigásâš
aikaavievä	áijáá
aikaero	äigi-iäru
aikaihminen	rävisolmooš
aikainen	aarrâd
aikaisemmin	tolebáá
aikaisempi	ajankohta
aikaisimmin	tolemus
aikaisin	tooláá
aikaisintaan	tolemužžân
aikaistaa	tolediđ
aikaistettu	toledum
aikajärjestys	äigioornig
aikakausi	äigipaje
aikakausjulkaisu	äigičaalâ
aikakauslehti	äigipajelostâ
aikakirja	äigikirje
aikalainen	áigálâš
aikamerkki	äigimerkkâ
aikamoinen	viehâlágán
aikamuoto	äigihäämi
aikataulu	äigitavlu
aikavyöhyke	äigistielâs
aikaväli	äigikoskâ
aikayksikkö	äigiohtâdâh
aikoa	áiguđ
aikomus	aaigâ
aikuinen	olesolmooš
aikuiskoulutus	rävisolmoošškovliittâs
aikuistua	rávásmuđ
aina	ain
ainainen	álulâš
ainakaan	aainâs-uv
ainakin	aainâs
aine	aamnâs
aineellinen	amnâslâš
aineenopettaja	amnâsmáttáátteijee
aineenvaihdunta	amnâsmolsom
aineeton	immateriaallâš
aineisto	amnâstâh
aineopinnot	amnâsuápuh
aines	aamnâs
ainiaan	avalávt
ainoa	áinoo
ainoastaan	tuš
ainut	áinoo
ainutkertainen	áinookiärdásâš
ainutlaatuinen	áinoošlajâsâš
ainutlaatuisuus	áinoošlajâsâšvuotâ
airo	áiru
aironlapa	liäđmá
airut	aairâs
aisa	áisá
aisankannattaja	jyelgituállee
aisata	olliđ
aisti	aiccâ
aistia	aiccâđ
aistiharha	áiccuseemi
aistimus	aiccâmuš
aistinelin	aiccâmorgaan
aistipiste	aiccâčyegis
aita	äiđi
aitajuoksu	äiđikaččâm
aitanjalka	äittijyelgi
aitaus	kärdi
aitio	ááiđus
aito	alkuperäinen
aitokulta	penttâkolle
aitta	äitti
aivan	aaibâs
aivastaa	kašneđ
aivastella	kašnattâllâđ
aivastelu	kašnem
aivastus	kašnattâs
aivastuttaa	kašnettiđ
aivohalvaus	vuoiŋâšvuoččum
aivokalvo	vuoiŋâšcuozzâ
aivokalvontulehdus	vuoiŋâšcuozzâkuddum
aivokoppa	vuoiŋâškuáti
aivolisäke	vuoiŋâšlasattâs
aivopesu	vuoiŋâšpoossâm
aivotulehdus	vuoiŋâškuddum
aivotärähdys	vuoiŋâšspiđgám
aivoverenvuoto	vuoiŋâšvardem
ajaen	vyejen
ajaja	vyeijee
ajallinen	áigálâš
ajanjakso	paje
ajankohta	puddâ
ajankohtainen	äigikyevdil
ajankulu	ääigikolo
ajankäyttö	ääigikevttim
ajanlasku	äigiloho
ajanmukainen	äigihiäivulâš
ajanmukaistaa	modernistiđ
ajanmääre	äigimiärus
ajantasainen	ääigitásásâš
ajanvaraus	ääigiväridem
ajanviete	äigiájánâs
ajastin	áigádeijee
ajatella	jurdâččiđ
ajatelma	jurdâceelhâ
ajaton	äigittem
ajattelematon	juurdâšmettum
ajattelutapa	jurdâččemvyehi
ajatuksellinen	juurdâlâš
ajatus	juurdâ
ajatustenvaihto	jurduilonottem
ajatusviiva	juurdâsäärgis
ajelehtia	kuljeksia
ajella	vuojâččiđ
ajettavuus	vyejettetteevuotâ
ajettua	puttâniđ
ajettuma	puttânem
ajettuminen	puttânem
ajo	sáttu
ajoahkio	vyeijimkerris
ajohärkä	vyeijimergi
ajoissa	ääigild
ajoittaa	äigidiđ
ajoittain	koskâttuvvâi
ajojälki	vuájáttâh
ajokaista	vyeijimstielâs
ajokas	vuájáán
ajokielto	vyeijimkiäldu
ajokki	fiävru
ajokoe	vyeijimiskos
ajokortti	vyeijimkorttâ
ajokorttiasetus	vyeijimkorttâasâttâs
ajolupa	vyeijimlope
ajoneuvo	fiävru
ajoneuvoasetus	fiävruasâttâs
ajoneuvokohtainen	fiävrukuáttásâš
ajoneuvoyhdistelmä	fiävrukuálus
ajonopeus	vyeijimliähtu
ajoporo	vuájáán
ajorata	vyeijimrađe
ajos	puávui
ajosuunta	vyeijimsunde
ajovalo	vyeijimčuovâ
ajoverkko	kulgâttâh
ajoverkkopyynti	kulgâdem
ajuri	vyeijee
akaatti	aagaat
akanvirta	kuánnil
akanvirtapaikka	maccâm
akateeminen	akateemisâš
akillesjänne	šušmesuonâ
akku	akku
akkulaturi	akkulyeđejeijee
akseli	aksel
akselipaino	akseltiäddu
akseliväli	akselkoskâ
aktiivinen	aktiivlâš
aktivoida	aktivistiđ
akustiikka	akustiik
akustinen	aakuustlâš
ala-arvoinen	vyeliárvusâš
ala-aste	vyelitääsi
alaikäinen	vyeliahasâš
alaindeksi	vyeli-indeks
alainen	vuálááš
alaisuus	vyelnivuotâ
alakerta	vyelikerdi
alakoulu	vyeliškovlâ
alakuloinen	šlunde
alakuloisuus	šlundevuotâ
alakuu	nohheemáánu
alaleuka	uálul
alaleukaluu	uálutähti
alamäki	miätálâh
alanko	vyelieennâm
alaonttolaskimo	vyeliváimumorčče
alapaine	vyeliteedâ
alapuoli	vyelipeeli
alarotu	vyelinääli
alas	vuálás
alaspäin	vuálás-
alassuin	kommood
alasti	piättáá
alastomuus	pietittemesvuotâ
alaston	pietittem
alati	ohtânmaanoost
alatukivarsi	vyelicaggeverdi
alava	vyeligâš
alavatsa	čuávjivuálááš
alaviistoon	vuáluskárŋá
alaviite	vyeličujos
alekkain	vuáláluvâi
alemmuus	vyelivuotâ
alemmuuskompleksi	vyelivuotkompleks
alempi	vyeleeb
alennus	vuáládâs
alennusmyynti	vuáládâsvyebdim
alentaa	vyelediđ
alfanumerinen	alfanummeerlâš
alhainen	vyeligâš
alhaisuus	vyeligâsvuotâ
aliarvioida	ucášiđ
alihakemisto	vyeliusâttâh
alijäämä	vuálápáácu
alijäämäinen	vyelipásulâš
alikersantti	vyelikersant
alikulku	vyelejotteem
alinomaa	ohtânmaanoost
alioikeus	vyelivuoigâdvuotâ
alipaine	vyeligisteedâ
aliravittu	uccáápiemmum
alistaa	vuálánittiđ
alistaminen	vuálánittem
alistua	vuálániđ
alistussuhde	vuálánittemkoskâvuotâ
alistuva	vuáláneijee
alitajunta	mielâvuálááš
alitse	vyele
alittaa	moonnâđ
alituinen	oovtmanolâš
alituiseen	oovtmano
aliupseeri	vyeliupseer
aliurakka	vyeliurkko
alivuokralainen	vyeliláigulâš
alivuokralaisasunto	vyeliláigulâšviste
alivuokrasopimus	vyeliláigusopâmuš
alivuokrasuhde	vyeliláigukoskâvuotâ
alju	piämmuhâs
alkaa	älgiđ
alkeellinen	algâlâš
alkeis-	algâ-
alkeisjuuri	algâ-
alkeiskurssi	algâ-
alkeislehti	algâ-
alkeisopetus	algâ-
alkeisrihma	sevtilálgu
alkeissilmu	algâ-
alkio	algâ
alkoholi	alkohol
alkoholisti	juhhee
alkovi	uáđđimsoppâ
alku	algâ
alkuaine	algâ-
alkuasukas	algâ-
alkueläin	algâ-
alkuihminen	algâ-
alkujaan	algâaalgâst
alkuluku	algâ-
alkupala	algâ-
alkuperä	álgápuáttim
alkuperäinen	algâ-
alkuperäiskansa	algâ-
alkupuoli	algâ-
alkupäässä	áálgukeččin
alkuräjähdys	algâ-
alkusana	algâ-
alkusäe	kuultava
alkutuotanto	algâ-
alkuvuosi	algâ-
alkuyö	algâ-
allas	ääldis
alle	vuálá
allekirjoitus	vuáláčáálus
allergia	allergia
alleviivata	vuálávijviđ
alleviivaus	vuálávijvim
almanakka	almenäkki
almu	adaldâh
aloite	aalgâ
aloittaa	algâttiđ
aloittelija	algâttellee
aloitus	algâttâs
alppi	alppâ
alppiniitty	alppânijtto
alppivaltio	alppâriijkâ
alttari	alttar
alue	kuávlu
alueellinen	kuávlulâš
aluehallinto	kuávluhaldâttâs
aluemetsänhoitaja	kuávlumeccitipšoo
aluetyyppi	kuávlutijppâ
aluevesi	kuávlučääci
aluksi	vistig
alumiini	alumin
alumiiniteollisuus	aluminráhtálâšvuotâ
alunen	vuálááš
alushame	siskelhaamit
aluskasvillisuus	vuálááššadolâšvuotâ
aluspaita	siskelpäiđi
alustaa	asiaa
alustava	algâ-
alustus	
ambulanssi	pyecceiauto
amerikkalainen	ameriklâš
ametisti	ametist
amiraali	amiraal
ammatillinen	áámmátlâš
ammatinharjoittaja	áámmáthárjutteijee
ammatinvaihdos	áámmátmolsom
ammatinvalinnanohjaus	áámmátvaljimstivrim
ammatinvalinta	áámmátvaljim
ammatinvalintapsykologi	áámmátvaljimpsykolog
ammatti	áámmát
ammattiala	áámmátsyergi
ammattikalastus	áámmátkuálástem
ammattikasvatushallitus	áámmátškovlimhaldâttâs
ammattikirjallisuus	áámmátkirjálâšvuotâ
ammattikokemus	áámmáthárjánem
ammattikorkeakoulu	áámmátollâškovlâ
ammattikoulu	áámmátškovlâ
ammattimies	áámmátalmai
ammattirikollisuus	áámmátrikolâšvuotâ
ammattiryhmä	áámmátjuávkku
ammattitaito	áámmáttáiđu
ammattitaitoinen	áámmáttáiđulâš
ammattitauti	áámmáttavdâ
ammattitulo	áámmátpuátu
ammattiyhdistys	áámmátovtâstus
amme	ääldis
ammennusastia	kuáivustemlitte
ammentaa	kuáivuđ
ammua	innoođ
ammuskella	pajâččiđ
ammuttaa	päjittiđ
ammuttava	päjittep
ampiaispesä	viäpsákuáti
ampua	tuliaseella
ampuma-ansa	pájáttâh
ampuma-ase	pääččimviärju
ampumaetäisyys	páčádâh
ampumahiihto	pääččimčuoigâm
ampumasuoja	perttumkuáti
ampumatuki	commâ
ampuminen	pääččim
amputoida	amputistiđ
analoginen	analogâlâš
analysoida	analysistiđ
analyysi	analyys
anastaa	kesijâššâđ
ankara	äŋgir
ankaruus	äŋgirvuotâ
ankkuri	reggâ
ankkuroida	aŋkkuristiđ
anniskella	antaa
anniskelu	juvâstâhvyebdim
anniskelukielto	juvâstâhvyebdimkiäldu
anniskelulupa	juvâstâhvyebdimlope
anniskeluoikeus	juvâstâhvyebdimvuoigâdvuotâ
annos	meripittá
anoa	áánnuđ
anoja	ánnoo
anoppi	vyene
anova	ánulâs
ansa	kielâ
ansaita	ánsášiđ
ansaitsematon	áánsášmettum
ansakaarre	kärdi
ansio	ánssu
ansiokas	ánsulâš
ansioluettelo	ánsuluvâttâllâm
ansiomerkki	ánsumerkkâ
ansionmenetys	tienâsmonâttem
ansiotyö	tienâspargo
ansoa	kiellâđ
antaa	konkr.
antautua	adelâttâđ
anteeksi	addâgâs
anteeksiantamaton	addâgâsân
anteeksianto	addâgâsân
anteliaisuus	adelâšvuotâ
antelias	adelâš
antenni	anten
anti	adaldâh
antibiootti	antibioot
antiikki	antiik
antikvariaatti	antikvariaat
antolainaus	loovnâadelem
antura	kamuvvuáđu
anturi	tuubdâin
aortta	válduváimusuonâ
apaja	värppi
apatiitti	apatiit
ape	apháš
apea	šlunde
apeus	šlundevuotâ
apila	apila
apina	apina
apostoli	apostol
appelsiini	appelsin
appelsiinipuu	appelsinmuorâ
appi	vuoppâ
aprikoida	hundâruššâđ
apteekki	apteek
apu	iše
apuhoitaja	išetipšoo
apukoulu	išeškovlâ
apulainen	išedeijee
apulaistoimistopäällikkö	išetoimâttâhhovdâ
apuneuvo	išeniävvu
apuraha	išeruttâ
arasti	äärgiht
aresti	aareest
argumentoida	agâstâllâđ
argumentti	aggâ
aritmeettinen	aritmeetlâš
arka	ärgi
arkailla	árgášiđ
arkajalka	ärgisiištâ
arki	argâ
arkinen	argâ-
arkisin	aargâi
arkisto	arkkâdâh
arkistokappale	arkkâdâhpittá
arkki	arkkâ
arkkipiispa	arkkâpispe
arkkitehti	arkkiteht
arkku	árkku
arktinen	arktâsâš
arkuus	ärgivuotâ
armahdus	ärmittâs
armahtaa	ärmittiđ
armahtavainen	ärmittettee
armeija	suátiviehâ
armeliaisuus	ármugâsvuotâ
armo	ármu
armoton	ármuttem
aro	koškejolgádâs
aromaattinen	aromaatlâš
arpa	vyerbi
arpajaislupa	vuárbádemlope
arpajaisvero	vuárbádemviäru
arpakuutio	pircco
arpalippu	vyerbilippu
arpeutua	uddoluđ
arpi	uddo
arpikudos	uddokođos
arpinen	udduu
arpoa	vuárbádiđ
arseeni	arseen
artikla	artikkâl
arvaamaton	ervidmettum
arvata	ärvidiđ
arvaus	árvádus
arvella	arvâlâddâđ
arvelu	árvádus
arveluttaa	iäpádâllâđ
arvio	árvu
arvioida	m.
arviointi	árvuštâllâm
arviomääräraha	árvumeriruttâ
arvo	árvu
arvoinen	árvulâš
arvoisa	áárvustoonnum
arvoitus	iärvádâs
arvokas	kallis
arvonimi	árvunommâ
arvonlisävero	áárvulaseviäru
arvonta	vuárbum
arvopaperi	árvupäävir
arvosana	árvusääni
arvostaa	anneeđ
arvostella	árvuštâllâđ
arvoton	árvuttem
arvuuttaa	iärvádittiđ
ase	viärju
aseellinen	viärjulâš
aseenkantolupa	viärjukyeddimlope
aseidenriisunta	viärjuinuollâm
aseistakieltäytyjä	viärjuinpiettâleijee
aseistautua	viärjuttuđ
asema	sajattâh
asemakaava	sajattâhkaava
asemalaituri	sajattâhruggâ
asemesta	sajan
asenne	ovdâjuurdâ
asennoitua	vuáháduđ
asentaa	stelliđ
asentaja	stellejeijee
asento	stelliilmâs
asentopaikka	orottâh
asepalvelus	viärjupalvâlus
asetelma	stelliittâs
asettaa	asâttiđ
asettautua	tiälláádâttâđ
asetus	asâttâs
asevelvollinen	viärjukenigâs
asevelvollisuus	viärjukenigâsvuotâ
asfaltti	asfalt
asia	äšši
asiaankuuluva	áášánkullee
asiakas	äššigâs
asiakirja	äššikirje
asialista	äššilisto
asiallinen	ášálâš
asiamies	äššialmai
asianajaja	äššivyeijee
asianajo	äššivyeijim
asianomainen	äššiomâhâš
asianomistaja	äššiomâsteijee
asianosainen	äššiuásálâš
asiantuntemus	äššitubdâmuš
asiantuntija	äššitobdee
asiapaperi	äššipáppár
asiaton	äšittem
asioida	ášástâllâđ
askare	riävgu
askarrella	puđâldiđ
askarruttaa	smietâttittiđ
askartelu	puđâldem
askarteluhile	kildeeh
askartelupunos	puđâldemponos
askel	lävkki
askelma	lavkkiittâh
aski	rasijâš
assimilaatio	assimilaatio
assimiloida	assimilistiđ
assimiloitua	assimilistuđ
assistentti	assistent
aste	lämpömittarissa
asteikko	ciäkkádâh
asteittainen	mudolâš
astelevy	cekkimitto
astella	lavkkiđ
astevaihtelu	tääsimolsom
astia	litte
astianpesuallas	littepoossâmääldis
astianpesukone	littepoossâmmaašin
astinlauta	jyelgimuorâ
astronautti	astronaut
astua	lavkkiđ
asua	aassâđ
asuinpaikka	aassâmpäikki
asuinrakennus	viäsu
asukas	ässee
asukasluku	olmoošloho
asuma-alue	aassâmkuávlu
asumistiheys	aassâmtávjudâh
asumistuki	aassâmtoorjâ
asumus	viste
asumusero	aassâmiäru
asunnoton	vistettem
asunto	aassâmviäsu
asuntola	asâttâh
asuntolaina	viäsulovnâ
asuntolanhoitaja	asâttâhtipšoo
asuste	lasepiivtâs
asustella	orodiđ
asuttaa	asâidutteđ
asutus	aassâm
asutuskeskus	aassâmkuávdáš
asutustoiminta	assâmtoimâ
ateria	määlis
atk-pääte	atk-kiäjus
atomi	aatoom
atomienergia	aatoomenergia
atrain	härssee
aueta	lekkâsiđ
aukaista	lehâstiđ
auki	áávus
aukioloaika	ávusorroomäigi
aukko	räigi
aula	veeskir
aura	
aurata	avrađ
auraus	avram
aurauskalusto	avrampiergâseh
auringonlasku	piäiváályeštim
auringonnousu	piäiváápajanem
auringonpaiste	piäivádâh
auringonpimennys	peeivisiävŋánem
auringonpistos	liegâsvuođâvuoččum
auringonsäde	piäiváásuonjâr
aurinko	piäiváš
aurinkoenergia	piäivášenergia
aurinkoinen	piäiváá
aurinkokenno	piäiváškenno
aurinkokunta	piäiváškodde
aurinkopaneeli	piäivášpaaneel
aurinkovoide	piäivádâhvuoidâs
autella	išádâllâđ
autio	ävđin
autiomaa	ävđineennâm
auto	auto
autoilija	autoinvyeijee
autokatos	autokáttus
autokoulu	autoškovlâ
autokuljetus	autojođettem
autolautta	autotamppâ
autoliikenne	autojotolâh
automaatti	automaat
automaattinen	automaatlâš
autonomia	autonomia
autonominen	autonomisâš
autotalli	autotalli
auttaa	išediđ
autuas	avdâgâs
autuus	avdâgâsvuotâ
avaamaton	leehâsthánnáá
avaaminen	lehâstem
avain	čoovdâ
avainnippu	čoovdâkiästu
avainsana	čoovdâsääni
avanto	käldee
avara	leevvâd
avaruus	komovuotâ
avata	
avautua	lekkâsiđ
avio-oikeus	näimivuoigâdvuotâ
avio-osa	näimiuási
avioehto	näimi-iähtu
avioero	näimi-iäránem
avioitua	naaijâđ
avioituminen	naaijâm
avioliitto	näimilitto
aviollinen	näimi-
aviolupaus	näimilopádâs
aviomies	käälis
aviopari	näimipaarâ
aviopuoliso	pelikyeimi
aviorikos	näimirikos
avioton	näimilito
aviovaimo	kálgu
avo-	ávus-
avohakkuu	jolgim
avoimuus	ávusvuotâ
avoin	ávus
avoinna	ávus
avojaloin	päljis
avokas	luáváttâh
avokätinen	aarvâs
avoliitto	ávuslitto
avomeri	ääpi
avomielinen	ávusmielâlâš
avonainen	ávus
avopuoliso	ávuskyeimi
avorauhanen	ávusráksá
avosuhde	ávuskoskâvuotâ
avosuin	cogâsnjalmij
avosylin	ávussoolâi
avuliaisuus	iššáávuotâ
avulias	iššáá
avulla	vievâst
avunsaaja	išeuážžoo
avustaja	išepargee
avustettava	išeuážžoo
avustus	toorjâ
avuton	kehnittis
avuttomuus	kehnittisvuotâ
baari	baari
bakteeri	bakteer
baletti	baaleet
banaani	baanaan
barokki	baarook
bauksiitti	bauksiit
bensiini	bensin
bensiiniasema	bensinsajattâh
betoni	beetoon
biologia	biologia
bitti	bittâ
bleiseri	ucctakki
boreaalinen	boreaallâš
budjetti	budjet
bulevardi	bulevard
bussi	linjâšauto
bussipysäkki	bussiorostâh
cd-asema	cd-sajattâh
cd-levy	cd-skiärru
cd-soitin	cd-čuojânâs
dataprojektori	dataprojektor
dekkari	dekkar
delta	delta
dementointua	muštottuđ
demokraattinen	demokraatlâš
demokratia	demokratia
desibeli	desibel
desilitra	desilitter
desimaali	desimaal
desimaaliluku	desimaalloho
desimetri	desimeetter
desinfioida	desinfistiđ
diaarinumero	diaarnummeer
diabaasi	diabaas
diabeetikko	diabetijkkár
diabetes	diabetes
diagnoosi	diagnoos
diakoni	diakon
dieselöljy	dieseloljo
diftongi	diftoŋ
digitaalikamera	digitaalkamera
digitaalinen	digitaallâš
diktaattori	diktaattor
dinosaurus	dinosaurus
diplomaatti	diplomaat
diplomi	diploom
dippi	puánjumâš
direktiivi	direktiiv
dokumentti	dokument
dokumenttielokuva	dokumentelleekove
dollari	dollár
dolomiittikivi	dolomiitkeđgi
dosentti	doosent
draama	draama
dramaattinen	dramaatlâš
duuri	duuri
dvd-asema	dvd-sajattâh
dvd-levy	dvd-skiärru
dvd-soitin	dvd-čuojânâs
dynaaminen	dyynaamlâš
dynamiitti	dynámit
dyyni	čunoivaaskâ
edelleen	ain
edellinen	ovdebáš
edellyttää	vaattâđ
edellytys	iähtu
edelläkävijä	oovdâstjottee
edeltäjä	oovdâstmannee
edeltäkäsin	oovdeld
edeltävä	tađe
edeltää	leđe
edemmäs	ovdeláá
edes	ubâ
edespäin	oovdâs
edessäpäin	ovdiibeln
edestakaisin	maacâi
edetä	ovdániđ
edistyksellinen	ovdánemmielâlâš
edistymätön	ovdánmettum
edistynyt	ovdánâm
edistys	ovdánem
edistyä	ovdániđ
edistää	ovdediđ
edullinen	hinta
edunsaaja	äävhiuážžoo
eduskunta	ovdâskodde
edustaa	ovdâstiđ
edustaja	ovdâsteijee
edustajisto	ovdâstemjuávkku
edustava	ovdâsteijee
edustuksellinen	ovdâsteijeevâš
edustus	ovdâstem
edustusto	ovdâstâs
eettinen	eettisâš
ehdokas	iävtukkâs
ehdokkuus	iävtukkâsvuotâ
ehdollinen	iävtulâš
ehdollisesti	iävtulávt
ehdollistaa	toohâđ
ehdonalainen	iävtuvuálásâš
ehdoton	iävtuttem
ehdottaa	iävtuttiđ
ehdotus	iävtuttâs
eheyttää	čavdesmittiđ
eheytyä	čavosmiđ
ehjä	čavos
ehkä	kenski
ehkäistä	estâdiđ
ehkäisy	estim
ehkäisykierukka	estimspiiraal
ehkäisymenetelmä	estimvyehi
ehkäisypilleri	estimpiller
ehostaa	mučismittiđ
ehta	puigâ
ehtivä	astel
ehtiä	enittiđ
ehto	iähtu
ehtoollinen	ehidâsmäälis
ehtoollisjumalanpalvelus	ehidâsimmeelpalvâlus
ehtoolliskirkko	rippâkirkko
ehtoollisleipä	ehidâsleibi
ehtoollismalja	ehidâskalkkâ
ehtoollisvieras	rippâkyessi
ehtoollisviini	ehidâsvijni
ehättää	happiittiđ
ei	ij
ei-toivottu	ij-tuáivuttettee
eikä	ige
eilen	jieht
eines	valmâšpurrâmuš
ekologinen	ekologâlâš
ekonomi	ekonoom
ekosysteemi	ekosysteem
ekskursio	uápásmemmätki
eksoottinen	eksootlâš
eksponentti	eksponent
eksyminen	lappum
eksyttää	čájádittiđ
eksyä	čájádiđ
ekumeeninen	ekumeenlâš
ekvivalenssi	ekvivalens
ekvivalentti	ekvivalenttâ
elanto	áigápuátu
elatus	elettem
elatusaine	elettemaamnâs
elatusapu	elettemiše
elatussopimus	elettemsopâmuš
elatustuki	elettemtoorjâ
elatusvelvollinen	elettemkenigâs
elatusvelvollisuus	elettemkenigâsvuotâ
ele	konkr.
elefantti	elefantti
elektroniikka	elektroniik
elektroniikkaasentaja	elektroniikstellejeijee
elektroniikkateollisuus	elektroniikráhtálâšvuotâ
elektroninen	elektronlâš
elellä	iälustâllâđ
elementti	element
elimistö	orgaanvuáhádâh
elin	orgaan
elinaika	eellimäigi
elinikä	eellimahe
elinikäinen	avepiäiválâš
elinkaari	eellimkiärdu
elinkautinen	avepajalâš
elinkeino	iäláttâs
elinkorko	eellimriänttu
elinpiiri	eellimpiirâs
elinsiirto	orgaansirdem
elintarvike	purrâmâškálvu
elintaso	eellimtääsi
elintila	eellimsaje
elinvoima	eellimvyeimi
elinympäristö	eellimpiirâs
eliö	iäláán
eliökunta	iäláánkodde
eliöstö	iäláneh
eliöyhteisö	iäláánsiärvádâh
elohopea	elleesilbâ
elokuu	porgemáánu
elokuva	elleekove
elollinen	elävä
eloperäinen	orgaanlâš
eloporo	elettempuásui
eloton	iäluttem
elpyä	iälláđ
eltaantua	kuivatuista
eltaantunut	kuivatuista
elvyttää	iällááttiđ
ely-keskus	ipi-kuávdáš
eläimistö	elleevalje
eläin	ellee
eläinlääkäri	elleituáhtár
eläinplankton	planktonelleeh
eläinsolu	elleesellâ
eläinsuojelu	elleisuojâlem
eläintalous	elleituálu
eläintarha	elleikärdi
eläke	iäláttâs
elämys	feerim
elämä	eellim
elämäkerta	eellimkerdi
elämänkatsomus	eellimuáinu
elämänkumppani	eellimkyeimi
elämäntapa	eellimutke
elämäntyö	eellimpargo
elämöidä	miänudiđ
elätti	piämmuhâs
elättäminen	elettem
elättää	elettiđ
elävä	ellee
eläväinen	eeliš
elävöittää	iäláskittiđ
eläytyä	mieldieelliđ
elää	eelliđ
emi	eemi
emikukinto	emiliäđus
emilehti	emilostâ
eminorkko	emiurbe
emokallio	emipähti
empiirinen	empiirlâš
empiä	kuávdálistiđ
emäksinen	alkaallâš
emäksisyys	alkaallâšvuotâ
emännöidä	emedâššâđ
emäntä	eemeed
emäpuu	vuáđumuorâ
emäs	alkaal
emätin	iämádâh
enemmistö	iänádâh
enemmistökieli	eenâblovokielâ
enemmän	eenâb
energia	energia
energiansäästölamppu	energiašeštimlamppu
enetä	lasaniđ
englantilainen	eŋlandilâš
enimmäis-	enâmus-
enimmäkseen	iänááš
enin	enâmus
enintään	enâmus
eniten	iänáá
enkeli	eŋgâl
ennakko	mune
ennakkoasenne	ovdâjuurdâ
ennakkoluulo	munekáddu
ennakkoon	muuneeld
ennakkotapaus	ovdâtábáhtus
ennakkoäänestys	muuneeldjienâstem
ennakoida	munediđ
ennakonpidätys	ovdâviäru
enne	oovdâš
ennen	ovdâl
ennenaikainen	liijkás
ennestään	ovdiist
ennustaa	ennustiđ
ennustaja	ennusteijee
ennuste	ennustâs
ennustus	ennustâs
ennättää	enittiđ
ennätys	ulâttâs
eno	iänui
ensi-	vuosâ-
