SUOMI	SÄMIKIELÂ UUCÂMSÄÄNI	SAAMEN_HAK	SUOMEN_HAK	SAAMEN_RIN	ESIMERKKEJÄ JA LIITTYVIÄ ILMAUKSIA	SAAMEN_YHD	SUOMEN_YHD	SAAMEN_TAI	SUOMEN_HA2	SUOMEN_J_L
aamuhämärä  	iđedâsveigi  -veeigi      	iđedâs	aamu			veigi	hämärä	-veeigi		
aamuinen  	iiđeedlâš  iiđeedlii      	iiđeedlâš	aamuinen					iiđeedlii		
aamukaste  	ijjâkässi  -kääsi      	ijjâ	aamu			kässi	kaste	-kääsi		
aamunkoi  	iiđeedkuávsui  -kuok'suu      	iiđeed	aamun			kuávsui	koi	-kuok'suu		
aamupala  	iđedâs,    iiđeedpittá -pitá, iđedâsmäälis -máállás~-máállâs, iđedâspurrâmuš    	iđedâs,	aamu	iiđeedpittá -pitá, iđedâsmäälis -máállás~-máállâs, iđedâspurrâmuš			pala			
aamupuoli  	iiđeedpeeLi  -pele;    (aamupuoleen) iiđeedpiäLán  	iiđeed	aamu		(aamupuoleen) iiđeedpiäLán	peeLi	puoli	-pele;		
aamupäivä  	iđedâs-~ iđedispeivi  -peeivi;    (aamupäivällä) iđedâspeeivi  	iđedâs-~ iđedis	aamu		(aamupäivällä) iđedâspeeivi	peivi	päivä	-peeivi;		
aamurukous  	iiđeedrukkoos        	iiđeed	aamu			rukkoos	rukous			
aamurusko  	iđedâskuávsui  -kuok'suu,  kuávsui kuok'suu, iđedâsruáĐi -ruáđi    	iđedâs	aamu	kuávsui kuok'suu, iđedâsruáĐi -ruáđi		kuávsui	rusko	-kuok'suu,		
aamu-uutiset  (mon.)	iiđeeduđđâseh  (mon.)      	iiđeed	aamu			uđđâseh	-uutiset	(mon.)		(mon.)
aamuvarhain  	aarriiđeed;      (aamun valjetessa) kuá'vsuikeeJist; (aamunkoitteessa) iiđeedláá; (aamutuimaan) tooláá iđedist  	aarr	aamu		(aamun valjetessa) kuá'vsuikeeJist; (aamunkoitteessa) iiđeedláá; (aamutuimaan) tooláá iđedist	iiđeed;	varhain			
aamuvirkku  	murriš  # murrišâs      	murriš	aamu				virkku	# murrišâs		
aamuyö  	iđedisijjâ  -iijâ      	iđedis	aamu			ijjâ	yö	-iijâ		
aapa(suo)  	äpijeggi  -jeegi      	äpi	aapa(suo)			jeggi		-jeegi		
aapasara  Carex rotundata	jurbâluhtee        	jurbâ	aapa			luhtee	sara			Carex rotundata
aapinen  	aabis,    aabiskirje -ki'rje    	aabis,	aapinen	aabiskirje -ki'rje						
aari  	aari        	aari	aari							
aarni(o)metsä  	luánduviđá  vyev'di,  algâ-~álguvyev'di -vyevdi    	luándu	aarni(o)	algâ-~álguvyev'di -vyevdi		viđá	metsä	vyev'di,		
aarnialue  	luánduviđá vyev'dikuáv'lu        	luándu	aarni			viđá vyev'dikuáv'lu	alue			
aarnihauta  	aarnihävdi  -häävdi      	aarni	aarni			hävdi	hauta	-häävdi		
aarre  	aarni        	aarni	aarre							
aarrehauta  	aarnihävdi  -häävdi      	aarni	aarre			hävdi	hauta	-häävdi		
aarteenvartija  	čáhálig        	čáhálig	aarteen				vartija			
aarto (arttukatos)  	árdu  áárdu      	árdu	aarto				 (arttukatos)	áárdu		
aasi  Equus asinus	aasi        	aasi	aasi							Equus asinus
aasialainen  	aasialâš  aasialii      	aasialâš	aasialainen					aasialii		
aataminomena  	ááddámoomeen        	ááddám	aatamin			oomeen	omena			
aate  	juurdâ  jurduu,  idea    	juurdâ	aate	idea				jurduu,		
aatelinen  	aatellâš  aatellii      	aatellâš	aatelinen					aatellii		
aateloida  	aatelistiđ  aatelistám      	aatelistiđ	aateloida					aatelistám		
aateluus  	aatellâšvuotâ  aatellâšvuođâ      	aatellâšvuotâ	aateluus					aatellâšvuođâ		
aatteellinen  	juurdâlâš  juurdâlii;  (idealistinen) idealistlâš idealistlii    	juurdâlâš	aatteellinen	(idealistinen) idealistlâš idealistlii				juurdâlii;		
aatto  	áptu  ááptu      	áptu	aatto					ááptu		
aava (adj.)  	viijđes  vijđá # vi'jđes      	viijđes	aava (adj.)					vijđá # vi'jđes		
aava (meren)  	ääpi  äävi      	ääpi	aava (meren)					äävi		
aave  	komme  koMe,  kuMâttâs    	komme	aave	kuMâttâs				koMe,		
aavikko  	čunoiääpi  -äävi,  koškeääpi    	čunoi	aavikko	koškeääpi		ääpi		-äävi,		
aavikkohaukka  Falco cherrug	čunoiäpivälli  -vääLi      	čunoi	aavikko			äpivälli	haukka	-vääLi		Falco cherrug
aavikkojuoksija  Cursorius cursor	čunoiäpinjaldee        	čunoi	aavikko			äpinjaldee	juoksija			Cursorius cursor
aavikkotasku  Oenanthe deserti	čunoiäpirástágâš  -rástágáá      	čunoi	aavikko			äpirástágâš	tasku	-rástágáá		Oenanthe deserti
aavikkotylli  Charadrius leschenaultii	čunoiäpipuVáduvvâš  -puVáduvváá      	čunoi	aavikko			äpipuVáduvvâš	tylli	-puVáduvváá		Charadrius leschenaultii
aavikoitua  	äpiluđ        	äpiluđ	aavikoitua							
aavikoituminen  	äpilum,    ápáilum    	äpilum,	aavikoituminen	ápáilum						
aavistaa  	avâštiđ  aavâšt      	avâštiđ	aavistaa					aavâšt		
aavistamaton  	aavâštmettum        	aavâštmettum	aavistamaton							
aavistella  	avâštâllâđ  avâštâlâm,  kuo'mâdiđ kuomâd    	avâštâllâđ	aavistella	kuo'mâdiđ kuomâd				avâštâlâm,		
aavistus  	avâštâs,    kuommâm, ulme u'lme    	avâštâs,	aavistus	kuommâm, ulme u'lme						
abiturientti  	abiturient  abiturieenti      	abiturient	abiturientti					abiturieenti		
abortti  	aaboort        	aaboort	abortti							
absoluuttinen  	absoluutlâš  absoluutlii      	absoluutlâš	absoluuttinen					absoluutlii		
abstrakti  	abstraktâ  abstraavtâ,  abstrakt    	abstraktâ	abstrakti	abstrakt				abstraavtâ,		
adagio  (mus.)	kuuloold        	kuuloold	adagio							(mus.)
adjektiivi  	adjektiiv~adjektiv,    adjektijvâ adjektiijvâ    	adjektiiv~adjektiv,	adjektiivi	adjektijvâ adjektiijvâ						
adoptio  	adoptio        	adoptio	adoptio							
adoptiolapsi  	adoptiopärni  -päärni      	adoptio	adoptio			pärni	lapsi	-päärni		
adoptoida  	adoptiđ  adoptiim      	adoptiđ	adoptoida					adoptiim		
adventti  	advent        	advent	adventti							
aforismi  	aforismâ  aforiismâ,  aforism    	aforismâ	aforismi	aforism				aforiismâ,		
afrikkalainen  	afriklâš  afriklii      	afriklâš	afrikkalainen					afriklii		
aggregaatti  	aggregaat        	aggregaat	aggregaatti							
aggressiivinen  	aggressijvâlâš  agressijvâlii,  aggressiivlâš aggressiivlii    	aggressijvâlâš	aggressiivinen	aggressiivlâš aggressiivlii				agressijvâlii,		
ah  	kah        	kah	ah							
ahavoitua  	áVáduđ  áVáduVá;   (m. kauhtua) paštuđ paštuum páštoo; (halkeillen esim. huulet) turmuđ turmojeh     	áVáduđ	ahavoitua	 (m. kauhtua) paštuđ paštuum páštoo; (halkeillen esim. huulet) turmuđ turmojeh 				áVáduVá;		
ahavoitunut  	áVádum;     (m. kauhtunut) paštum; (halkeillen esim. huulet) turmum     	áVádum;	ahavoitunut	 (m. kauhtunut) paštum; (halkeillen esim. huulet) turmum 						
ahdas  	äätis  áttá;  naagâs naggâs # naggâ; (tilasta) kärži käärži # kä'ržis, sajettem # sajettes; (vaatteesta, putkesta, kujasta tms.) poskâd # -is ~ po'skis;   (olla ahdas tila, ahtaalla esim. porot aidassa) naggâ; (olla ahtaasti esim. jalka kengässä) naggâsávt~naggâsist; (käydä ahtaaksi tilasta) káržuđ kááržum, sajettuđ sajettuum sajettuVá; (käydä ahtaaksi t. tiukaksi vaatteesta, putkesta tms.) poskâniđ; (tehdä ahtaaksi t. ahtaammaksi) káržudiđ kááržud  	äätis	ahdas	naagâs naggâs # naggâ; (tilasta) kärži käärži # kä'ržis, sajettem # sajettes; (vaatteesta, putkesta, kujasta tms.) poskâd # -is ~ po'skis;	 (olla ahdas tila, ahtaalla esim. porot aidassa) naggâ; (olla ahtaasti esim. jalka kengässä) naggâsávt~naggâsist; (käydä ahtaaksi tilasta) káržuđ kááržum, sajettuđ sajettuum sajettuVá; (käydä ahtaaksi t. tiukaksi vaatteesta, putkesta tms.) poskâniđ; (tehdä ahtaaksi t. ahtaammaksi) káržudiđ kááržud			áttá;		
ahdinko  	pačarâs        	pačarâs	ahdinko							
ahdinparta  Cladophora glomerata	siä'mutiäb'bu  -tiäbu      	siä'mu	ahdin			tiäb'bu	parta	-tiäbu		Cladophora glomerata
ahdistaa  	atâštiđ  atâštâm aatâšt      	atâštiđ	ahdistaa					atâštâm aatâšt		
ahdistella  (takaa ajaen)	uá'Vuttâllâđ  uá'Vuttâlâm      	uá'Vuttâllâđ	ahdistella					uá'Vuttâlâm		(takaa ajaen)
ahdistua  	atâštuđ  atâštuum atâštuVá      	atâštuđ	ahdistua					atâštuum atâštuVá		
ahdistus  	atâštâs~atâštus        	atâštâs~atâštus	ahdistus							
aherrus  	iäljáruššâm,    pa'rgeldem    	iäljáruššâm,	aherrus	pa'rgeldem						
ahertaa  	iäljáruššâđ  iäljárušâm,  pa'rgeldiđ pargeeld    	iäljáruššâđ	ahertaa	pa'rgeldiđ pargeeld				iäljárušâm,		
ahjo  	áhju  ááhju      	áhju	ahjo					ááhju		
ahkera  	viššâl  # -is~-âs,  äŋgir # -âs, álššáá # -s, iäl'jár;  (olla ahkera jssak) iäl'juttiđ iäljut  	viššâl	ahkera	äŋgir # -âs, álššáá # -s, iäl'jár;	(olla ahkera jssak) iäl'juttiđ iäljut			# -is~-âs,		
ahkeroida  	äŋgirâššâđ  äŋgirâšâm,  äŋgiruššâđ äŋgirušâm, iäl'járâššâđ iäl'járâšâm ~ iäl'járuššâđ iäl'járušâm, viššâluššâđ viššâlušâm, älššidiđ älššid    	äŋgirâššâđ	ahkeroida	äŋgiruššâđ äŋgirušâm, iäl'járâššâđ iäl'járâšâm ~ iäl'járuššâđ iäl'járušâm, viššâluššâđ viššâlušâm, älššidiđ älššid				äŋgirâšâm,		
ahkeruus  	älšši  äälši,  iäl'ju iälju, viŠo, iäl'járvuotâ iäl'járvuođâ, viššâlvuotâ viššâlvuođâ, äŋgirvuotâ äŋgirvuođâ    	älšši	ahkeruus	iäl'ju iälju, viŠo, iäl'járvuotâ iäl'járvuođâ, viššâlvuotâ viššâlvuođâ, äŋgirvuotâ äŋgirvuođâ				äälši,		
ahkio  	kerris;    (pieni) kerrisâš kerrisáá; (vanha, huono) keRislissâ -lisâ; (ylimääräinen) čoVâttâs;  (ahkion emäpuun takajatke) čieppâin; (tulla huonokuntoiseksi ahkiosta) lissâluđ lissâluVá  	kerris;	ahkio	(pieni) kerrisâš kerrisáá; (vanha, huono) keRislissâ -lisâ; (ylimääräinen) čoVâttâs;	(ahkion emäpuun takajatke) čieppâin; (tulla huonokuntoiseksi ahkiosta) lissâluđ lissâluVá					
ahma  Gulo gulo	ketki  keeđhi;    (ahmantalja) keeđhičevđi -čeevđi  	ketki	ahma		(ahmantalja) keeđhičevđi -čeevđi			keeđhi;		Gulo gulo
ahmaista  	hu'rtádiđ,    njiä'ládiđ njiäláád, (ruokansa) šávduliđ, (eläimestä) hamâstiđ haamâst    	hu'rtádiđ,	ahmaista	njiä'ládiđ njiäláád, (ruokansa) šávduliđ, (eläimestä) hamâstiđ haamâst						
ahmanydin  (poron leukaluissa)	keeđhioođâ  -ođđâm      	keeđhi	ahman			oođâ	ydin	-ođđâm		(poron leukaluissa)
ahmatti  (adj.)	vuáv'dáá  # -s      	vuáv'dáá	ahmatti					# -s		(adj.)
ahmia  	hurttođ  hu'rtom,  hu'rtodiđ hurttood, šávguđ šáávgum ~ šávduđ šáávdum; (ihmisestä) si'skediđ siskeed    	hurttođ	ahmia	hu'rtodiđ hurttood, šávguđ šáávgum ~ šávduđ šáávdum; (ihmisestä) si'skediđ siskeed				hu'rtom,		
ahne  	äänhis  ánhás,  vuáv'dáá # -s, hurttáá # -s; (sudesta t. muista pedoista) snielah; (hyttysistä tms. ennen sadetta) šnäkkil # -is; (perso jllek) väimil # -âs (+ ill.); (rahanahne, saita) häänis ~ hänes ~ háánnás # hänis~hänes    	äänhis	ahne	vuáv'dáá # -s, hurttáá # -s; (sudesta t. muista pedoista) snielah; (hyttysistä tms. ennen sadetta) šnäkkil # -is; (perso jllek) väimil # -âs (+ ill.); (rahanahne, saita) häänis ~ hänes ~ háánnás # hänis~hänes				ánhás,		
ahneesti  	vuáv'dáht        	vuáv'dáht	ahneesti							
ahnehtia  	á'nhástuššâđ  á'nhástušâm,  snie'lâhistiđ snie'lâhistám; (töitä, työnteossa) áhčááttâllâđ áhčááttâlâm    	á'nhástuššâđ	ahnehtia	snie'lâhistiđ snie'lâhistám; (töitä, työnteossa) áhčááttâllâđ áhčááttâlâm				á'nhástušâm,		
ahnehtiva  	vuo'vnâlâš  vuo'vnâlii      	vuo'vnâlâš	ahnehtiva					vuo'vnâlii		
ahneus  	ä'nhisvuotâ  ä'nhisvuođâ,  snie'lahisvuotâ snie'lahisvuođâ ~ snielahvuotâ snielâhvuođâ    	ä'nhisvuotâ	ahneus	snie'lahisvuotâ snie'lahisvuođâ ~ snielahvuotâ snielâhvuođâ				ä'nhisvuođâ,		
aho  	kied'di  kiedi      	kied'di	aho					kiedi		
ahojäkkärä  Gnaphalium sylvaticum	meccijääkkir        	mecci	aho			jääkkir	jäkkärä			Gnaphalium sylvaticum
aholeinikki  Ranunculus polyanthemos	kuolbâmieđâš  -miettâš ~ -mieđii      	kuolbâ	aho			mieđâš	leinikki	-miettâš ~ -mieđii		Ranunculus polyanthemos
ahomansikka  Fragaria vesca	kied'dimyer'ji  -myerji,  kuolbâmansik, eennâmmyer'ji -myerji    	kied'di	aho	kuolbâmansik, eennâmmyer'ji -myerji		myer'ji	mansikka	-myerji,		Fragaria vesca
ahomatara  Galium boreale	vie'lgismääđir  -määđđir      	vie'lgis	aho			määđir	matara	-määđđir		Galium boreale
ahonoidanlukko  Botrychium multifidum	kuolbâhäldeelukkâ  -luuhâ      	kuolbâ	aho			häldeelukkâ	noidanlukko	-luuhâ		Botrychium multifidum
aho-orvokki  Viola montana	stuor'rânijttoviola        	stuor'rânijtto	aho			viola	-orvokki			Viola montana
ahopaju  Salix starkeana	kied'disieđ'gâ  -sieđgâ      	kied'di	aho			sieđ'gâ	paju	-sieđgâ		Salix starkeana
ahopellava  Linum catharticum	meccipiel'livâs        	mecci	aho			piel'livâs	pellava			Linum catharticum
ahopukinjuuri  Pimpinella saxifraria	meccikaaicâmaadâ  -madduu      	mecci	aho			kaaicâmaadâ	pukinjuuri	-madduu		Pimpinella saxifraria
ahosuolaheinä  Rumex acetosella (ssp. acetosella)	kuolbâsälttisyei'ni  -syeini      	kuolbâ	aho			sälttisyei'ni	suolaheinä	-syeini		Rumex acetosella (ssp. acetosella)
ahtaa  	nutkâđ  nuuđhâm notká;    (tulla liian tiiviiseen ahdetuksi) lävviluđ lävviluVá  	nutkâđ	ahtaa		(tulla liian tiiviiseen ahdetuksi) lävviluđ lävviluVá			nuuđhâm notká;		
ahtaasti  	kääržiht,     naggâ, naggâs    	kääržiht, 	ahtaasti	naggâ, naggâs						
ahtaus  	kärživuotâ  kärživuođâ      	kärživuotâ	ahtaus					kärživuođâ		
ahtauttaa  	káržudiđ  kááržud      	káržudiđ	ahtauttaa					kááržud		
ahtautua  (jhk)	pokkâšuđ  pokkâšuum pokkâšuVá      	pokkâšuđ	ahtautua					pokkâšuum pokkâšuVá		(jhk)
ahteri  	moonjiikeeči  -keeJi,  moonjiškeeči -keeJi, monnjâkeeči -keeJi; (erit. peppu) pottâ poođâ    	moonjii	ahteri	moonjiškeeči -keeJi, monnjâkeeči -keeJi; (erit. peppu) pottâ poođâ		keeči		-keeJi,		
ahtojää  	morrumjieŊâ  -jieŋâ      	morrum	ahto			jieŊâ	jää	-jieŋâ		
ahven  Perca fluviatilis	vuásku  vuás'kun      	vuásku	ahven					vuás'kun		Perca fluviatilis
ahvenanmaalainen  	ålandlâš  ålandlii      	ålandlâš	ahvenan				maalainen	ålandlii		
ahvenvita  Potamogeton perfoliatus	pu'škosyev'vi  -syeVi      	pu'ško	ahven			syev'vi	vita	-syeVi		Potamogeton perfoliatus
aidanmutka  	äiđimokke  -mohe      	äiđi	aidan			mokke	mutka	-mohe		
aidanvieri  	äiđipaldâ        	äiđi	aidan			paldâ	vieri			
aidas  	ääiđis  áiđás;  (pienen männyn rungosta hakaistu neljännes) čađadâs    	ääiđis	aidas	(pienen männyn rungosta hakaistu neljännes) čađadâs				áiđás;		
aidata  	áiđuđ  ááiđum      	áiđuđ	aidata					ááiđum		
aie  	aaigâ  aiguu      	aaigâ	aie					aiguu		
aiemmin  	ovdâlist,    tolebáá, tooleeb    	ovdâlist,	aiemmin	tolebáá, tooleeb						
aiempi  	o'vdebâš  o'vdebáá,  tooleeb    	o'vdebâš	aiempi	tooleeb				o'vdebáá,		
aihe  	fáddá  fáádá      	fáddá	aihe					fáádá		
aiheellinen  	ášálâš  ášálii;  (tarpeellinen) tá'rbulâš tá'rbulii    	ášálâš	aiheellinen	(tarpeellinen) tá'rbulâš tá'rbulii				ášálii;		
aiheeton  	äšittem;    (tarpeeton) taarbâšmettum    	äšittem;	aiheeton	(tarpeeton) taarbâšmettum						
aiheuttaa  	toVâttiđ  toovvât;    (aiheuttaa onnettomuus) pärttidiđ  	toVâttiđ	aiheuttaa		(aiheuttaa onnettomuus) pärttidiđ			toovvât;		
aiheutua  	šoddâđ  šoodâm šadda      	šoddâđ	aiheutua					šoodâm šadda		
aihio  	hammiittâs        	hammiittâs	aihio							
aihki(mänty)  	aikkâ  aaihâ      	aikkâ	aihki				(mänty)	aaihâ		
aika  (part.)	vie'hâ,    uá'Li, melgâd    	vie'hâ,	aika	uá'Li, melgâd						(part.)
aika  (subst.)	äigi  ääigi;  (aika jhk, jouto) asto a'sto; (mennyt, mutta lähellä nykyaikaa) manneš; (muinainen aika, aika kauan sitten) toovláš; (edessä oleva pitkähkö aika) purdo pu'rdo; (aika, jolloin kala ui hyvin nuottaan) puttâmäigi -ääigi ~ puttâmpääLi -pääli ~ -päle;  (sinä aikana) ton ääigi; (ajoissa, hyvissä ajoin) ääigild; (lyhyen aikaa) uániháá; (hetkisen aikaa) uánihissii; (pitkä aika) kuhes ääigi; (aika ajoin) ko'skâstuvvâi~ko'skâstuvâi ~ ko'skâttuvvâi~ko'skâttuvâi; (aikaa sitten) áigáá; (ihminen jolla on paljon aikaa) astel # -is; (ihminen jolla on aikaa) jyev'dil # -is; (hukata, tappaa aikaa) jyev'dilistiđ; (löytää aikaa jhk) o'stâstuđ o'stâstuum  	äigi	aika	(aika jhk, jouto) asto a'sto; (mennyt, mutta lähellä nykyaikaa) manneš; (muinainen aika, aika kauan sitten) toovláš; (edessä oleva pitkähkö aika) purdo pu'rdo; (aika, jolloin kala ui hyvin nuottaan) puttâmäigi -ääigi ~ puttâmpääLi -pääli ~ -päle;	(sinä aikana) ton ääigi; (ajoissa, hyvissä ajoin) ääigild; (lyhyen aikaa) uániháá; (hetkisen aikaa) uánihissii; (pitkä aika) kuhes ääigi; (aika ajoin) ko'skâstuvvâi~ko'skâstuvâi ~ ko'skâttuvvâi~ko'skâttuvâi; (aikaa sitten) áigáá; (ihminen jolla on paljon aikaa) astel # -is; (ihminen jolla on aikaa) jyev'dil # -is; (hukata, tappaa aikaa) jyev'dilistiđ; (löytää aikaa jhk) o'stâstuđ o'stâstuum			ääigi;		(subst.)
aikaansaada  	uáž'žuđ áigá,    á'štášiđ ááštáš, selgâniđ, se'lgâttiđ seelgât; (erit. jtk) nakkaniđ;  (tulla tehdyksi) rahtuđ rahtuum ráhtoo  	uáž'žuđ	aikaan	á'štášiđ ááštáš, selgâniđ, se'lgâttiđ seelgât; (erit. jtk) nakkaniđ;	(tulla tehdyksi) rahtuđ rahtuum ráhtoo	 áigá,	saada			
aikaavievä  	áijáá  # -s      	áijáá	aikaa				vievä	# -s		
aikaero  	äigi-iäRu  -iäru      	äigi	aika			-iäRu	ero	-iäru		
aikaihminen  	rävisolmooš  -ulmuu,  oLesolmooš -ulmuu    	rävis	aika	oLesolmooš -ulmuu		olmooš	ihminen	-ulmuu,		
aikainen  	aarrâd        	aarrâd	aikainen							
-aikainen  	-áigásâš  -áigásii      	-áigásâš	-aikainen					-áigásii		
aikaisemmin  	tolebáá,    tooleeb, toleláá, ovdâlist; (vähän) ovdláhháá ~ ovdláá, tolebiššáá~tolebuššáá    	tolebáá,	aikaisemmin	tooleeb, toleláá, ovdâlist; (vähän) ovdláhháá ~ ovdláá, tolebiššáá~tolebuššáá						
aikaisempi  	(ajankohta) tooleeb  tolebáá;  (edellinen) oovdeb    	(ajankohta) tooleeb	aikaisempi	(edellinen) oovdeb				tolebáá;		
aikaisimmin  	tolemus,    tolehumos    	tolemus,	aikaisimmin	tolehumos						
aikaisin  	tooláá;        	tooláá;	aikaisin							
aikaisintaan  	tolemužžân        	tolemužžân	aikaisintaan							
aikaistaa  	tolediđ        	tolediđ	aikaistaa							
aikaistettu  	toledum        	toledum	aikaistettu							
aikajärjestys  	äigioornig        	äigi	aika			oornig	järjestys			
aikakausi  	äigipaJe  -paje      	äigi	aika			paJe	kausi	-paje		
aikakausjulkaisu  	äigičaalâ  -čalluu      	äigi	aika			čaalâ	kausjulkaisu	-čalluu		
aikakauslehti  	äigipaJelostâ  -loostâ      	äigi	aika			paJelostâ	kauslehti	-loostâ		
aikakirja  	äigikirje  -ki'rje      	äigi	aika			kirje	kirja	-ki'rje		
aikalainen  	á'igálâš  á'igálii      	á'igálâš	aikalainen					á'igálii		
aikamerkki  	äigimerkkâ  -meerhâ      	äigi	aika			merkkâ	merkki	-meerhâ		
aikamoinen  	vie'hâlágán,     uá'Lilágán, melgâdlágán    	vie'hâlágán, 	aika	uá'Lilágán, melgâdlágán			moinen			
aikamuoto  	äigihääMi  -häämi      	äigi	aika			hääMi	muoto	-häämi		
aikataulu  	äigitavlu  -taavlu      	äigi	aika			tavlu	taulu	-taavlu		
aikavyöhyke  	äigistielâs  -stiellâs,  äigiavadâh -avaduv    	äigi	aika	äigiavadâh -avaduv		stielâs	vyöhyke	-stiellâs,		
aikaväli  	äigikoskâ  -kooskâ,  puddâ puudâ    	äigi	aika	puddâ puudâ		koskâ	väli	-kooskâ,		
aikayksikkö  	äigiohtâdâh  -ohtâduv      	äigi	aika			ohtâdâh	yksikkö	-ohtâduv		
aikoa  	áiguđ  ááigum,  meinađ meinaam, keehâđ keeVâm; (useaan otteeseen) kehâdiđ keehâd;  (aikoa toistuvasti tehdä jtk) hippâđ hiipâm  	áiguđ	aikoa	meinađ meinaam, keehâđ keeVâm; (useaan otteeseen) kehâdiđ keehâd;	(aikoa toistuvasti tehdä jtk) hippâđ hiipâm			ááigum,		
aikomus  	aaigâ  aiguu,  áigumuš    	aaigâ	aikomus	áigumuš				aiguu,		
aikuinen  	oLesolmooš  -ulmuu,  rävisolmooš -ulmuu, vuo'râsolmooš -ulmuu    	oLes	aikuinen	rävisolmooš -ulmuu, vuo'râsolmooš -ulmuu		olmooš		-ulmuu,		
aikuiskoulutus  	rävisolmoošškovliittâs        	rävis	aikuis			olmoošškovliittâs	koulutus			
aikuistua  	rávásmuđ  rávásmuum rávásmuVá,  šoddâđ räävisin    	rávásmuđ	aikuistua	šoddâđ räävisin				rávásmuum rávásmuVá,		
aina  	ain,    eivi, ovttuu;  (aina vain) eivi mie'ld, eivi et eivi  	ain,	aina	eivi, ovttuu;	(aina vain) eivi mie'ld, eivi et eivi					
ainainen  	álulâš  álulii      	álulâš	ainainen					álulii		
ainakaan  	aainâs-uv,    kuittâg    	aainâs-uv,	ainakaan	kuittâg						
ainakin  	aainâs,    aainâs-uv, kuittâg    	aainâs,	ainakin	aainâs-uv, kuittâg						
aine  	aamnâs  amnâs      	aamnâs	aine					amnâs		
aineellinen  	a'mnâslâš  a'mnâslii,  materiaallâš materiaallii    	a'mnâslâš	aineellinen	materiaallâš materiaallii				a'mnâslii,		
aineenopettaja  	a'mnâsmáttáátteijee        	a'mnâs	aineen			máttáátteijee	opettaja			
aineenvaihdunta  	a'mnâsmolsom        	a'mnâs	aineen			molsom	vaihdunta			
aineeton  	immateriaallâš  immateriaallii      	immateriaallâš	aineeton					immateriaallii		
aineisto  	a'mnâstâh  amnâstuv      	a'mnâstâh	aineisto					amnâstuv		
aineopinnot  	a'mnâsuápuh  -uápui,  a'mnâsluhâmeh -luhâmij    	a'mnâs	aine	a'mnâsluhâmeh -luhâmij		uápuh	opinnot	-uápui,		
